number_of_neurons,activation,activation2,cut_off,accuracy,recall,Performance
2,relu,softmax,0.05,0.9271507088943839,0.7029467680608364,0.7996302105073735
2,relu,softmax,0.1,0.9725134706130074,0.6734790874524715,0.7958328626873769
2,relu,softmax,0.15000000000000002,0.9962134709729435,0.0,0.0
2,relu,softmax,0.2,0.9962134709729435,0.0,0.0
2,relu,softmax,0.25,0.9962134709729435,0.0,0.0
2,relu,softmax,0.3,0.9962134709729435,0.0,0.0
2,relu,softmax,0.35000000000000003,0.9962134709729435,0.0,0.0
2,relu,softmax,0.4,0.9962134709729435,0.0,0.0
2,relu,softmax,0.45,0.9962134709729435,0.0,0.0
2,relu,softmax,0.5,0.9962134709729435,0.0,0.0
2,relu,softmax,0.55,0.9962134709729435,0.0,0.0
2,tanh,softmax,0.05,0.9961720783077239,0.0042775665399239545,0.008518554376266554
2,tanh,softmax,0.1,0.9961918747997854,0.0042775665399239545,0.008518555100056792
2,tanh,softmax,0.15000000000000002,0.9962026728863645,0.0042775665399239545,0.008518555494839394
2,tanh,softmax,0.2,0.9962080719296541,0.0042775665399239545,0.0085185556922275
2,tanh,softmax,0.25,0.9962098716107506,0.0042775665399239545,0.008518555758023062
2,tanh,softmax,0.3,0.9962098716107506,0.0042775665399239545,0.008518555758023062
2,tanh,softmax,0.35000000000000003,0.9962098716107506,0.0042775665399239545,0.008518555758023062
2,tanh,softmax,0.4,0.9962116712918471,0.0042775665399239545,0.008518555823818387
2,tanh,softmax,0.45,0.9962134709729435,0.0042775665399239545,0.008518555889613475
2,tanh,softmax,0.5,0.9962134709729435,0.0042775665399239545,0.008518555889613475
2,tanh,softmax,0.55,0.9962170703351366,0.0042775665399239545,0.008518556021202942
3,relu,softmax,0.05,0.936620630824218,0.6962927756653993,0.7987712957591163
3,relu,softmax,0.1,0.9749556378609711,0.6663498098859315,0.7916399775894195
3,relu,softmax,0.15000000000000002,0.9962134709729435,0.0,0.0
3,relu,softmax,0.2,0.9962134709729435,0.0,0.0
3,relu,softmax,0.25,0.9962134709729435,0.0,0.0
3,relu,softmax,0.3,0.9962134709729435,0.0,0.0
3,relu,softmax,0.35000000000000003,0.9962134709729435,0.0,0.0
3,relu,softmax,0.4,0.9962134709729435,0.0,0.0
3,relu,softmax,0.45,0.9962134709729435,0.0,0.0
3,relu,softmax,0.5,0.9962134709729435,0.0,0.0
3,relu,softmax,0.55,0.9962134709729435,0.0,0.0
3,tanh,softmax,0.05,0.9317003027063604,0.7276615969581749,0.8171364309265934
3,tanh,softmax,0.1,0.9330734593829973,0.7271863117870723,0.8173639563367123
3,tanh,softmax,0.15000000000000002,0.9962134709729435,0.0,0.0
3,tanh,softmax,0.2,0.9962134709729435,0.0,0.0
3,tanh,softmax,0.25,0.9962134709729435,0.0,0.0
3,tanh,softmax,0.3,0.9962134709729435,0.0,0.0
3,tanh,softmax,0.35000000000000003,0.9962134709729435,0.0,0.0
3,tanh,softmax,0.4,0.9962134709729435,0.0,0.0
3,tanh,softmax,0.45,0.9962134709729435,0.0,0.0
3,tanh,softmax,0.5,0.9962134709729435,0.0,0.0
3,tanh,softmax,0.55,0.9962134709729435,0.0,0.0
